Round 0: src_acc=0.672396, tgt_acc=0.637500, best_tgt=0.637500
Round 1: src_acc=0.776910, tgt_acc=0.618750, best_tgt=0.637500
Round 2: src_acc=0.885764, tgt_acc=0.727083, best_tgt=0.727083
Round 3: src_acc=0.940799, tgt_acc=0.689583, best_tgt=0.727083
Round 4: src_acc=0.934201, tgt_acc=0.693750, best_tgt=0.727083
Round 5: src_acc=0.965972, tgt_acc=0.747917, best_tgt=0.747917
Round 6: src_acc=0.962326, tgt_acc=0.672917, best_tgt=0.747917
Round 7: src_acc=0.974826, tgt_acc=0.710417, best_tgt=0.747917
Round 8: src_acc=0.986458, tgt_acc=0.702083, best_tgt=0.747917
Round 9: src_acc=0.984201, tgt_acc=0.722917, best_tgt=0.747917
Round 10: src_acc=0.999653, tgt_acc=0.727083, best_tgt=0.747917
Round 11: src_acc=0.999826, tgt_acc=0.745833, best_tgt=0.747917
Round 12: src_acc=1.000000, tgt_acc=0.750000, best_tgt=0.750000
Round 13: src_acc=1.000000, tgt_acc=0.756250, best_tgt=0.756250
Round 14: src_acc=1.000000, tgt_acc=0.745833, best_tgt=0.756250
Round 15: src_acc=1.000000, tgt_acc=0.750000, best_tgt=0.756250
Round 16: src_acc=1.000000, tgt_acc=0.762500, best_tgt=0.762500
Round 17: src_acc=1.000000, tgt_acc=0.737500, best_tgt=0.762500
Round 18: src_acc=1.000000, tgt_acc=0.747917, best_tgt=0.762500
Round 19: src_acc=1.000000, tgt_acc=0.760417, best_tgt=0.762500
Round 20: src_acc=1.000000, tgt_acc=0.754167, best_tgt=0.762500
Round 21: src_acc=1.000000, tgt_acc=0.752083, best_tgt=0.762500
Round 22: src_acc=1.000000, tgt_acc=0.762500, best_tgt=0.762500
Round 23: src_acc=1.000000, tgt_acc=0.750000, best_tgt=0.762500
Round 24: src_acc=1.000000, tgt_acc=0.758333, best_tgt=0.762500
Round 25: src_acc=1.000000, tgt_acc=0.758333, best_tgt=0.762500
Round 26: src_acc=1.000000, tgt_acc=0.754167, best_tgt=0.762500
Round 27: src_acc=1.000000, tgt_acc=0.754167, best_tgt=0.762500
Round 28: src_acc=1.000000, tgt_acc=0.772917, best_tgt=0.772917
Round 29: src_acc=1.000000, tgt_acc=0.752083, best_tgt=0.772917
Round 30: src_acc=1.000000, tgt_acc=0.766667, best_tgt=0.772917
Round 31: src_acc=1.000000, tgt_acc=0.777083, best_tgt=0.777083
Round 32: src_acc=1.000000, tgt_acc=0.758333, best_tgt=0.777083
Round 33: src_acc=1.000000, tgt_acc=0.758333, best_tgt=0.777083
Round 34: src_acc=1.000000, tgt_acc=0.743750, best_tgt=0.777083
Round 35: src_acc=1.000000, tgt_acc=0.754167, best_tgt=0.777083
Round 36: src_acc=1.000000, tgt_acc=0.745833, best_tgt=0.777083
Round 37: src_acc=1.000000, tgt_acc=0.758333, best_tgt=0.777083
Round 38: src_acc=1.000000, tgt_acc=0.766667, best_tgt=0.777083
Round 39: src_acc=1.000000, tgt_acc=0.775000, best_tgt=0.777083
Round 40: src_acc=1.000000, tgt_acc=0.766667, best_tgt=0.777083
Round 41: src_acc=1.000000, tgt_acc=0.758333, best_tgt=0.777083
Round 42: src_acc=1.000000, tgt_acc=0.752083, best_tgt=0.777083
Round 43: src_acc=1.000000, tgt_acc=0.766667, best_tgt=0.777083
Round 44: src_acc=1.000000, tgt_acc=0.766667, best_tgt=0.777083
Round 45: src_acc=1.000000, tgt_acc=0.772917, best_tgt=0.777083
Round 46: src_acc=1.000000, tgt_acc=0.775000, best_tgt=0.777083
Round 47: src_acc=1.000000, tgt_acc=0.775000, best_tgt=0.777083
Round 48: src_acc=1.000000, tgt_acc=0.764583, best_tgt=0.777083
Round 49: src_acc=1.000000, tgt_acc=0.760417, best_tgt=0.777083
