Round 0: src_acc=0.706510, tgt_acc=0.492708, best_tgt=0.492708
Round 1: src_acc=0.866146, tgt_acc=0.561458, best_tgt=0.561458
Round 2: src_acc=0.917188, tgt_acc=0.569792, best_tgt=0.569792
Round 3: src_acc=0.914583, tgt_acc=0.559375, best_tgt=0.569792
Round 4: src_acc=0.951823, tgt_acc=0.581250, best_tgt=0.581250
Round 5: src_acc=0.954427, tgt_acc=0.610417, best_tgt=0.610417
Round 6: src_acc=0.975521, tgt_acc=0.536458, best_tgt=0.610417
Round 7: src_acc=0.941146, tgt_acc=0.517708, best_tgt=0.610417
Round 8: src_acc=0.988802, tgt_acc=0.600000, best_tgt=0.610417
Round 9: src_acc=0.993750, tgt_acc=0.580208, best_tgt=0.610417
Round 10: src_acc=1.000000, tgt_acc=0.606250, best_tgt=0.610417
Round 11: src_acc=1.000000, tgt_acc=0.615625, best_tgt=0.615625
Round 12: src_acc=1.000000, tgt_acc=0.626042, best_tgt=0.626042
Round 13: src_acc=1.000000, tgt_acc=0.630208, best_tgt=0.630208
Round 14: src_acc=1.000000, tgt_acc=0.632292, best_tgt=0.632292
Round 15: src_acc=1.000000, tgt_acc=0.613542, best_tgt=0.632292
Round 16: src_acc=1.000000, tgt_acc=0.616667, best_tgt=0.632292
Round 17: src_acc=1.000000, tgt_acc=0.618750, best_tgt=0.632292
Round 18: src_acc=1.000000, tgt_acc=0.618750, best_tgt=0.632292
Round 19: src_acc=1.000000, tgt_acc=0.608333, best_tgt=0.632292
Round 20: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.632292
Round 21: src_acc=1.000000, tgt_acc=0.619792, best_tgt=0.632292
Round 22: src_acc=1.000000, tgt_acc=0.625000, best_tgt=0.632292
Round 23: src_acc=1.000000, tgt_acc=0.633333, best_tgt=0.633333
Round 24: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.633333
Round 25: src_acc=1.000000, tgt_acc=0.632292, best_tgt=0.633333
Round 26: src_acc=1.000000, tgt_acc=0.619792, best_tgt=0.633333
Round 27: src_acc=1.000000, tgt_acc=0.614583, best_tgt=0.633333
Round 28: src_acc=1.000000, tgt_acc=0.620833, best_tgt=0.633333
Round 29: src_acc=1.000000, tgt_acc=0.625000, best_tgt=0.633333
Round 30: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.633333
Round 31: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.633333
Round 32: src_acc=1.000000, tgt_acc=0.634375, best_tgt=0.634375
Round 33: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.634375
Round 34: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.634375
Round 35: src_acc=1.000000, tgt_acc=0.626042, best_tgt=0.634375
Round 36: src_acc=1.000000, tgt_acc=0.613542, best_tgt=0.634375
Round 37: src_acc=1.000000, tgt_acc=0.632292, best_tgt=0.634375
Round 38: src_acc=1.000000, tgt_acc=0.620833, best_tgt=0.634375
Round 39: src_acc=1.000000, tgt_acc=0.631250, best_tgt=0.634375
Round 40: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.634375
Round 41: src_acc=1.000000, tgt_acc=0.627083, best_tgt=0.634375
Round 42: src_acc=1.000000, tgt_acc=0.631250, best_tgt=0.634375
Round 43: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.634375
Round 44: src_acc=1.000000, tgt_acc=0.634375, best_tgt=0.634375
Round 45: src_acc=1.000000, tgt_acc=0.626042, best_tgt=0.634375
Round 46: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.634375
Round 47: src_acc=1.000000, tgt_acc=0.625000, best_tgt=0.634375
Round 48: src_acc=1.000000, tgt_acc=0.625000, best_tgt=0.634375
Round 49: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.634375
