Round 0: src_acc=0.915926, tgt_acc=0.852593, best_tgt=0.852593
Round 1: src_acc=0.902963, tgt_acc=0.846667, best_tgt=0.852593
Round 2: src_acc=0.982778, tgt_acc=0.957037, best_tgt=0.957037
Round 3: src_acc=0.973704, tgt_acc=0.937778, best_tgt=0.957037
Round 4: src_acc=0.988889, tgt_acc=0.945926, best_tgt=0.957037
Round 5: src_acc=0.990185, tgt_acc=0.920000, best_tgt=0.957037
Round 6: src_acc=0.991852, tgt_acc=0.889630, best_tgt=0.957037
Round 7: src_acc=0.978704, tgt_acc=0.921481, best_tgt=0.957037
Round 8: src_acc=0.993704, tgt_acc=0.954815, best_tgt=0.957037
Round 9: src_acc=0.991481, tgt_acc=0.944444, best_tgt=0.957037
Round 10: src_acc=0.999444, tgt_acc=0.987407, best_tgt=0.987407
Round 11: src_acc=0.999444, tgt_acc=0.991852, best_tgt=0.991852
Round 12: src_acc=1.000000, tgt_acc=0.990370, best_tgt=0.991852
Round 13: src_acc=1.000000, tgt_acc=0.988889, best_tgt=0.991852
Round 14: src_acc=1.000000, tgt_acc=0.993333, best_tgt=0.993333
Round 15: src_acc=0.999815, tgt_acc=0.990370, best_tgt=0.993333
Round 16: src_acc=1.000000, tgt_acc=0.993333, best_tgt=0.993333
Round 17: src_acc=1.000000, tgt_acc=0.993333, best_tgt=0.993333
Round 18: src_acc=1.000000, tgt_acc=0.993333, best_tgt=0.993333
Round 19: src_acc=1.000000, tgt_acc=0.996296, best_tgt=0.996296
Round 20: src_acc=1.000000, tgt_acc=0.992593, best_tgt=0.996296
Round 21: src_acc=1.000000, tgt_acc=0.994815, best_tgt=0.996296
Round 22: src_acc=1.000000, tgt_acc=0.995556, best_tgt=0.996296
Round 23: src_acc=1.000000, tgt_acc=0.994815, best_tgt=0.996296
Round 24: src_acc=1.000000, tgt_acc=0.995556, best_tgt=0.996296
Round 25: src_acc=1.000000, tgt_acc=0.995556, best_tgt=0.996296
Round 26: src_acc=1.000000, tgt_acc=0.995556, best_tgt=0.996296
Round 27: src_acc=1.000000, tgt_acc=0.996296, best_tgt=0.996296
Round 28: src_acc=1.000000, tgt_acc=0.994815, best_tgt=0.996296
Round 29: src_acc=1.000000, tgt_acc=0.994815, best_tgt=0.996296
Round 30: src_acc=1.000000, tgt_acc=0.994815, best_tgt=0.996296
Round 31: src_acc=1.000000, tgt_acc=0.995556, best_tgt=0.996296
Round 32: src_acc=1.000000, tgt_acc=0.995556, best_tgt=0.996296
Round 33: src_acc=1.000000, tgt_acc=0.995556, best_tgt=0.996296
Round 34: src_acc=1.000000, tgt_acc=0.994815, best_tgt=0.996296
Round 35: src_acc=1.000000, tgt_acc=0.993333, best_tgt=0.996296
Round 36: src_acc=1.000000, tgt_acc=0.996296, best_tgt=0.996296
Round 37: src_acc=1.000000, tgt_acc=0.993333, best_tgt=0.996296
Round 38: src_acc=1.000000, tgt_acc=0.994074, best_tgt=0.996296
Round 39: src_acc=1.000000, tgt_acc=0.992593, best_tgt=0.996296
Round 40: src_acc=1.000000, tgt_acc=0.995556, best_tgt=0.996296
Round 41: src_acc=1.000000, tgt_acc=0.994815, best_tgt=0.996296
Round 42: src_acc=1.000000, tgt_acc=0.995556, best_tgt=0.996296
Round 43: src_acc=1.000000, tgt_acc=0.994815, best_tgt=0.996296
Round 44: src_acc=1.000000, tgt_acc=0.994074, best_tgt=0.996296
Round 45: src_acc=1.000000, tgt_acc=0.994815, best_tgt=0.996296
Round 46: src_acc=1.000000, tgt_acc=0.992593, best_tgt=0.996296
Round 47: src_acc=1.000000, tgt_acc=0.996296, best_tgt=0.996296
Round 48: src_acc=1.000000, tgt_acc=0.995556, best_tgt=0.996296
Round 49: src_acc=1.000000, tgt_acc=0.995556, best_tgt=0.996296
