Round 0: src_acc=0.610677, tgt_acc=0.438542, best_tgt=0.438542
Round 1: src_acc=0.914062, tgt_acc=0.575000, best_tgt=0.575000
Round 2: src_acc=0.953906, tgt_acc=0.567708, best_tgt=0.575000
Round 3: src_acc=0.956250, tgt_acc=0.534375, best_tgt=0.575000
Round 4: src_acc=0.957812, tgt_acc=0.547917, best_tgt=0.575000
Round 5: src_acc=0.965625, tgt_acc=0.602083, best_tgt=0.602083
Round 6: src_acc=0.980729, tgt_acc=0.609375, best_tgt=0.609375
Round 7: src_acc=0.979688, tgt_acc=0.538542, best_tgt=0.609375
Round 8: src_acc=0.990365, tgt_acc=0.568750, best_tgt=0.609375
Round 9: src_acc=0.992188, tgt_acc=0.601042, best_tgt=0.609375
Round 10: src_acc=0.999479, tgt_acc=0.604167, best_tgt=0.609375
Round 11: src_acc=0.999740, tgt_acc=0.615625, best_tgt=0.615625
Round 12: src_acc=1.000000, tgt_acc=0.594792, best_tgt=0.615625
Round 13: src_acc=1.000000, tgt_acc=0.610417, best_tgt=0.615625
Round 14: src_acc=1.000000, tgt_acc=0.595833, best_tgt=0.615625
Round 15: src_acc=1.000000, tgt_acc=0.609375, best_tgt=0.615625
Round 16: src_acc=1.000000, tgt_acc=0.603125, best_tgt=0.615625
Round 17: src_acc=1.000000, tgt_acc=0.605208, best_tgt=0.615625
Round 18: src_acc=1.000000, tgt_acc=0.604167, best_tgt=0.615625
Round 19: src_acc=1.000000, tgt_acc=0.608333, best_tgt=0.615625
Round 20: src_acc=1.000000, tgt_acc=0.627083, best_tgt=0.627083
Round 21: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.627083
Round 22: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.627083
Round 23: src_acc=1.000000, tgt_acc=0.625000, best_tgt=0.627083
Round 24: src_acc=1.000000, tgt_acc=0.616667, best_tgt=0.627083
Round 25: src_acc=1.000000, tgt_acc=0.616667, best_tgt=0.627083
Round 26: src_acc=1.000000, tgt_acc=0.627083, best_tgt=0.627083
Round 27: src_acc=1.000000, tgt_acc=0.616667, best_tgt=0.627083
Round 28: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.627083
Round 29: src_acc=1.000000, tgt_acc=0.626042, best_tgt=0.627083
Round 30: src_acc=1.000000, tgt_acc=0.619792, best_tgt=0.627083
Round 31: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.627083
Round 32: src_acc=1.000000, tgt_acc=0.618750, best_tgt=0.627083
Round 33: src_acc=1.000000, tgt_acc=0.616667, best_tgt=0.627083
Round 34: src_acc=1.000000, tgt_acc=0.614583, best_tgt=0.627083
Round 35: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.627083
Round 36: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.627083
Round 37: src_acc=1.000000, tgt_acc=0.625000, best_tgt=0.627083
Round 38: src_acc=1.000000, tgt_acc=0.610417, best_tgt=0.627083
Round 39: src_acc=1.000000, tgt_acc=0.612500, best_tgt=0.627083
Round 40: src_acc=1.000000, tgt_acc=0.621875, best_tgt=0.627083
Round 41: src_acc=1.000000, tgt_acc=0.615625, best_tgt=0.627083
Round 42: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.627083
Round 43: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.627083
Round 44: src_acc=1.000000, tgt_acc=0.627083, best_tgt=0.627083
Round 45: src_acc=1.000000, tgt_acc=0.613542, best_tgt=0.627083
Round 46: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.627083
Round 47: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.627083
Round 48: src_acc=1.000000, tgt_acc=0.613542, best_tgt=0.627083
Round 49: src_acc=1.000000, tgt_acc=0.615625, best_tgt=0.627083
