Round 0: src_acc=0.645052, tgt_acc=0.503125, best_tgt=0.503125
Round 1: src_acc=0.829948, tgt_acc=0.541667, best_tgt=0.541667
Round 2: src_acc=0.921875, tgt_acc=0.581250, best_tgt=0.581250
Round 3: src_acc=0.939063, tgt_acc=0.501042, best_tgt=0.581250
Round 4: src_acc=0.894010, tgt_acc=0.481250, best_tgt=0.581250
Round 5: src_acc=0.978646, tgt_acc=0.586458, best_tgt=0.586458
Round 6: src_acc=0.924479, tgt_acc=0.452083, best_tgt=0.586458
Round 7: src_acc=0.972656, tgt_acc=0.561458, best_tgt=0.586458
Round 8: src_acc=0.980729, tgt_acc=0.593750, best_tgt=0.593750
Round 9: src_acc=0.975000, tgt_acc=0.559375, best_tgt=0.593750
Round 10: src_acc=0.999740, tgt_acc=0.592708, best_tgt=0.593750
Round 11: src_acc=1.000000, tgt_acc=0.606250, best_tgt=0.606250
Round 12: src_acc=1.000000, tgt_acc=0.608333, best_tgt=0.608333
Round 13: src_acc=1.000000, tgt_acc=0.614583, best_tgt=0.614583
Round 14: src_acc=1.000000, tgt_acc=0.619792, best_tgt=0.619792
Round 15: src_acc=1.000000, tgt_acc=0.621875, best_tgt=0.621875
Round 16: src_acc=1.000000, tgt_acc=0.633333, best_tgt=0.633333
Round 17: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.633333
Round 18: src_acc=1.000000, tgt_acc=0.597917, best_tgt=0.633333
Round 19: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.633333
Round 20: src_acc=1.000000, tgt_acc=0.619792, best_tgt=0.633333
Round 21: src_acc=1.000000, tgt_acc=0.618750, best_tgt=0.633333
Round 22: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.633333
Round 23: src_acc=1.000000, tgt_acc=0.618750, best_tgt=0.633333
Round 24: src_acc=1.000000, tgt_acc=0.615625, best_tgt=0.633333
Round 25: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.633333
Round 26: src_acc=1.000000, tgt_acc=0.611458, best_tgt=0.633333
Round 27: src_acc=1.000000, tgt_acc=0.615625, best_tgt=0.633333
Round 28: src_acc=1.000000, tgt_acc=0.626042, best_tgt=0.633333
Round 29: src_acc=1.000000, tgt_acc=0.616667, best_tgt=0.633333
Round 30: src_acc=1.000000, tgt_acc=0.607292, best_tgt=0.633333
Round 31: src_acc=1.000000, tgt_acc=0.629167, best_tgt=0.633333
Round 32: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.633333
Round 33: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.633333
Round 34: src_acc=1.000000, tgt_acc=0.630208, best_tgt=0.633333
Round 35: src_acc=1.000000, tgt_acc=0.630208, best_tgt=0.633333
Round 36: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.633333
Round 37: src_acc=1.000000, tgt_acc=0.621875, best_tgt=0.633333
Round 38: src_acc=1.000000, tgt_acc=0.634375, best_tgt=0.634375
Round 39: src_acc=1.000000, tgt_acc=0.632292, best_tgt=0.634375
Round 40: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.634375
Round 41: src_acc=1.000000, tgt_acc=0.626042, best_tgt=0.634375
Round 42: src_acc=1.000000, tgt_acc=0.630208, best_tgt=0.634375
Round 43: src_acc=1.000000, tgt_acc=0.626042, best_tgt=0.634375
Round 44: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.634375
Round 45: src_acc=1.000000, tgt_acc=0.634375, best_tgt=0.634375
Round 46: src_acc=1.000000, tgt_acc=0.633333, best_tgt=0.634375
Round 47: src_acc=1.000000, tgt_acc=0.626042, best_tgt=0.634375
Round 48: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.634375
Round 49: src_acc=1.000000, tgt_acc=0.621875, best_tgt=0.634375
