Round 0: src_acc=0.924762, tgt_acc=0.738000, best_tgt=0.738000
Round 1: src_acc=0.908571, tgt_acc=0.806667, best_tgt=0.806667
Round 2: src_acc=0.972571, tgt_acc=0.836667, best_tgt=0.836667
Round 3: src_acc=0.928762, tgt_acc=0.794667, best_tgt=0.836667
Round 4: src_acc=0.987810, tgt_acc=0.825333, best_tgt=0.836667
Round 5: src_acc=0.989524, tgt_acc=0.828667, best_tgt=0.836667
Round 6: src_acc=0.980952, tgt_acc=0.859333, best_tgt=0.859333
Round 7: src_acc=0.994095, tgt_acc=0.846667, best_tgt=0.859333
Round 8: src_acc=0.992762, tgt_acc=0.850667, best_tgt=0.859333
Round 9: src_acc=0.992190, tgt_acc=0.878000, best_tgt=0.878000
Round 10: src_acc=0.999619, tgt_acc=0.905333, best_tgt=0.905333
Round 11: src_acc=0.999810, tgt_acc=0.892000, best_tgt=0.905333
Round 12: src_acc=1.000000, tgt_acc=0.902667, best_tgt=0.905333
Round 13: src_acc=1.000000, tgt_acc=0.894000, best_tgt=0.905333
Round 14: src_acc=1.000000, tgt_acc=0.904667, best_tgt=0.905333
Round 15: src_acc=1.000000, tgt_acc=0.901333, best_tgt=0.905333
Round 16: src_acc=1.000000, tgt_acc=0.900000, best_tgt=0.905333
Round 17: src_acc=1.000000, tgt_acc=0.895333, best_tgt=0.905333
Round 18: src_acc=1.000000, tgt_acc=0.906000, best_tgt=0.906000
Round 19: src_acc=1.000000, tgt_acc=0.890667, best_tgt=0.906000
Round 20: src_acc=1.000000, tgt_acc=0.909333, best_tgt=0.909333
Round 21: src_acc=1.000000, tgt_acc=0.897333, best_tgt=0.909333
Round 22: src_acc=1.000000, tgt_acc=0.912000, best_tgt=0.912000
Round 23: src_acc=1.000000, tgt_acc=0.909333, best_tgt=0.912000
Round 24: src_acc=1.000000, tgt_acc=0.903333, best_tgt=0.912000
Round 25: src_acc=1.000000, tgt_acc=0.904667, best_tgt=0.912000
Round 26: src_acc=1.000000, tgt_acc=0.898667, best_tgt=0.912000
Round 27: src_acc=1.000000, tgt_acc=0.896667, best_tgt=0.912000
Round 28: src_acc=1.000000, tgt_acc=0.898667, best_tgt=0.912000
Round 29: src_acc=1.000000, tgt_acc=0.898667, best_tgt=0.912000
Round 30: src_acc=1.000000, tgt_acc=0.894667, best_tgt=0.912000
Round 31: src_acc=1.000000, tgt_acc=0.906000, best_tgt=0.912000
Round 32: src_acc=1.000000, tgt_acc=0.911333, best_tgt=0.912000
Round 33: src_acc=1.000000, tgt_acc=0.916667, best_tgt=0.916667
Round 34: src_acc=1.000000, tgt_acc=0.900000, best_tgt=0.916667
Round 35: src_acc=1.000000, tgt_acc=0.905333, best_tgt=0.916667
Round 36: src_acc=1.000000, tgt_acc=0.914667, best_tgt=0.916667
Round 37: src_acc=1.000000, tgt_acc=0.895333, best_tgt=0.916667
Round 38: src_acc=1.000000, tgt_acc=0.900667, best_tgt=0.916667
Round 39: src_acc=1.000000, tgt_acc=0.894000, best_tgt=0.916667
Round 40: src_acc=1.000000, tgt_acc=0.899333, best_tgt=0.916667
Round 41: src_acc=1.000000, tgt_acc=0.891333, best_tgt=0.916667
Round 42: src_acc=1.000000, tgt_acc=0.904667, best_tgt=0.916667
Round 43: src_acc=1.000000, tgt_acc=0.899333, best_tgt=0.916667
Round 44: src_acc=1.000000, tgt_acc=0.898000, best_tgt=0.916667
Round 45: src_acc=1.000000, tgt_acc=0.908667, best_tgt=0.916667
Round 46: src_acc=1.000000, tgt_acc=0.895333, best_tgt=0.916667
Round 47: src_acc=1.000000, tgt_acc=0.896667, best_tgt=0.916667
Round 48: src_acc=1.000000, tgt_acc=0.904667, best_tgt=0.916667
Round 49: src_acc=1.000000, tgt_acc=0.909333, best_tgt=0.916667
