Round 0: src_acc=0.620313, tgt_acc=0.427083, best_tgt=0.427083
Round 1: src_acc=0.806771, tgt_acc=0.447917, best_tgt=0.447917
Round 2: src_acc=0.901042, tgt_acc=0.534375, best_tgt=0.534375
Round 3: src_acc=0.914062, tgt_acc=0.538542, best_tgt=0.538542
Round 4: src_acc=0.960938, tgt_acc=0.548958, best_tgt=0.548958
Round 5: src_acc=0.970052, tgt_acc=0.557292, best_tgt=0.557292
Round 6: src_acc=0.982292, tgt_acc=0.515625, best_tgt=0.557292
Round 7: src_acc=0.994010, tgt_acc=0.621875, best_tgt=0.621875
Round 8: src_acc=0.972656, tgt_acc=0.558333, best_tgt=0.621875
Round 9: src_acc=0.978646, tgt_acc=0.579167, best_tgt=0.621875
Round 10: src_acc=0.999740, tgt_acc=0.589583, best_tgt=0.621875
Round 11: src_acc=1.000000, tgt_acc=0.584375, best_tgt=0.621875
Round 12: src_acc=1.000000, tgt_acc=0.590625, best_tgt=0.621875
Round 13: src_acc=1.000000, tgt_acc=0.597917, best_tgt=0.621875
Round 14: src_acc=1.000000, tgt_acc=0.591667, best_tgt=0.621875
Round 15: src_acc=1.000000, tgt_acc=0.608333, best_tgt=0.621875
Round 16: src_acc=1.000000, tgt_acc=0.598958, best_tgt=0.621875
Round 17: src_acc=1.000000, tgt_acc=0.619792, best_tgt=0.621875
Round 18: src_acc=1.000000, tgt_acc=0.620833, best_tgt=0.621875
Round 19: src_acc=1.000000, tgt_acc=0.611458, best_tgt=0.621875
Round 20: src_acc=1.000000, tgt_acc=0.618750, best_tgt=0.621875
Round 21: src_acc=1.000000, tgt_acc=0.613542, best_tgt=0.621875
Round 22: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.621875
Round 23: src_acc=1.000000, tgt_acc=0.621875, best_tgt=0.621875
Round 24: src_acc=1.000000, tgt_acc=0.614583, best_tgt=0.621875
Round 25: src_acc=1.000000, tgt_acc=0.607292, best_tgt=0.621875
Round 26: src_acc=1.000000, tgt_acc=0.602083, best_tgt=0.621875
Round 27: src_acc=1.000000, tgt_acc=0.612500, best_tgt=0.621875
Round 28: src_acc=1.000000, tgt_acc=0.614583, best_tgt=0.621875
Round 29: src_acc=1.000000, tgt_acc=0.613542, best_tgt=0.621875
Round 30: src_acc=1.000000, tgt_acc=0.618750, best_tgt=0.621875
Round 31: src_acc=1.000000, tgt_acc=0.616667, best_tgt=0.621875
Round 32: src_acc=1.000000, tgt_acc=0.620833, best_tgt=0.621875
Round 33: src_acc=1.000000, tgt_acc=0.621875, best_tgt=0.621875
Round 34: src_acc=1.000000, tgt_acc=0.615625, best_tgt=0.621875
Round 35: src_acc=1.000000, tgt_acc=0.607292, best_tgt=0.621875
Round 36: src_acc=1.000000, tgt_acc=0.606250, best_tgt=0.621875
Round 37: src_acc=1.000000, tgt_acc=0.616667, best_tgt=0.621875
Round 38: src_acc=1.000000, tgt_acc=0.618750, best_tgt=0.621875
Round 39: src_acc=1.000000, tgt_acc=0.611458, best_tgt=0.621875
Round 40: src_acc=1.000000, tgt_acc=0.607292, best_tgt=0.621875
Round 41: src_acc=1.000000, tgt_acc=0.615625, best_tgt=0.621875
Round 42: src_acc=1.000000, tgt_acc=0.614583, best_tgt=0.621875
Round 43: src_acc=1.000000, tgt_acc=0.607292, best_tgt=0.621875
Round 44: src_acc=1.000000, tgt_acc=0.615625, best_tgt=0.621875
Round 45: src_acc=1.000000, tgt_acc=0.606250, best_tgt=0.621875
Round 46: src_acc=1.000000, tgt_acc=0.607292, best_tgt=0.621875
Round 47: src_acc=1.000000, tgt_acc=0.606250, best_tgt=0.621875
Round 48: src_acc=1.000000, tgt_acc=0.609375, best_tgt=0.621875
Round 49: src_acc=1.000000, tgt_acc=0.614583, best_tgt=0.621875
