Round 0: src_acc=0.932963, tgt_acc=0.925926, best_tgt=0.925926
Round 1: src_acc=0.917963, tgt_acc=0.908148, best_tgt=0.925926
Round 2: src_acc=0.954444, tgt_acc=0.948889, best_tgt=0.948889
Round 3: src_acc=0.982963, tgt_acc=0.960741, best_tgt=0.960741
Round 4: src_acc=0.980741, tgt_acc=0.965926, best_tgt=0.965926
Round 5: src_acc=0.992963, tgt_acc=0.970370, best_tgt=0.970370
Round 6: src_acc=0.971852, tgt_acc=0.931111, best_tgt=0.970370
Round 7: src_acc=0.992778, tgt_acc=0.951852, best_tgt=0.970370
Round 8: src_acc=0.994259, tgt_acc=0.957037, best_tgt=0.970370
Round 9: src_acc=0.997593, tgt_acc=0.966667, best_tgt=0.970370
Round 10: src_acc=0.999259, tgt_acc=0.968889, best_tgt=0.970370
Round 11: src_acc=0.999815, tgt_acc=0.971111, best_tgt=0.971111
Round 12: src_acc=0.999630, tgt_acc=0.970370, best_tgt=0.971111
Round 13: src_acc=1.000000, tgt_acc=0.971852, best_tgt=0.971852
Round 14: src_acc=1.000000, tgt_acc=0.968889, best_tgt=0.971852
Round 15: src_acc=1.000000, tgt_acc=0.971852, best_tgt=0.971852
Round 16: src_acc=1.000000, tgt_acc=0.970370, best_tgt=0.971852
Round 17: src_acc=1.000000, tgt_acc=0.970370, best_tgt=0.971852
Round 18: src_acc=1.000000, tgt_acc=0.972593, best_tgt=0.972593
Round 19: src_acc=1.000000, tgt_acc=0.973333, best_tgt=0.973333
Round 20: src_acc=1.000000, tgt_acc=0.972593, best_tgt=0.973333
Round 21: src_acc=1.000000, tgt_acc=0.972593, best_tgt=0.973333
Round 22: src_acc=1.000000, tgt_acc=0.971852, best_tgt=0.973333
Round 23: src_acc=1.000000, tgt_acc=0.974074, best_tgt=0.974074
Round 24: src_acc=1.000000, tgt_acc=0.973333, best_tgt=0.974074
Round 25: src_acc=1.000000, tgt_acc=0.968889, best_tgt=0.974074
Round 26: src_acc=1.000000, tgt_acc=0.971111, best_tgt=0.974074
Round 27: src_acc=1.000000, tgt_acc=0.974074, best_tgt=0.974074
Round 28: src_acc=1.000000, tgt_acc=0.971111, best_tgt=0.974074
Round 29: src_acc=1.000000, tgt_acc=0.974074, best_tgt=0.974074
Round 30: src_acc=1.000000, tgt_acc=0.971852, best_tgt=0.974074
Round 31: src_acc=1.000000, tgt_acc=0.970370, best_tgt=0.974074
Round 32: src_acc=1.000000, tgt_acc=0.971111, best_tgt=0.974074
Round 33: src_acc=1.000000, tgt_acc=0.969630, best_tgt=0.974074
Round 34: src_acc=1.000000, tgt_acc=0.972593, best_tgt=0.974074
Round 35: src_acc=1.000000, tgt_acc=0.971852, best_tgt=0.974074
Round 36: src_acc=1.000000, tgt_acc=0.970370, best_tgt=0.974074
Round 37: src_acc=1.000000, tgt_acc=0.973333, best_tgt=0.974074
Round 38: src_acc=1.000000, tgt_acc=0.974074, best_tgt=0.974074
Round 39: src_acc=1.000000, tgt_acc=0.970370, best_tgt=0.974074
Round 40: src_acc=1.000000, tgt_acc=0.973333, best_tgt=0.974074
Round 41: src_acc=1.000000, tgt_acc=0.971111, best_tgt=0.974074
Round 42: src_acc=1.000000, tgt_acc=0.972593, best_tgt=0.974074
Round 43: src_acc=1.000000, tgt_acc=0.970370, best_tgt=0.974074
Round 44: src_acc=1.000000, tgt_acc=0.971852, best_tgt=0.974074
Round 45: src_acc=1.000000, tgt_acc=0.972593, best_tgt=0.974074
Round 46: src_acc=1.000000, tgt_acc=0.971852, best_tgt=0.974074
Round 47: src_acc=1.000000, tgt_acc=0.970370, best_tgt=0.974074
Round 48: src_acc=1.000000, tgt_acc=0.972593, best_tgt=0.974074
Round 49: src_acc=1.000000, tgt_acc=0.971852, best_tgt=0.974074
