Round 0: src_acc=0.845185, tgt_acc=0.805926, best_tgt=0.805926
Round 1: src_acc=0.868148, tgt_acc=0.854074, best_tgt=0.854074
Round 2: src_acc=0.983519, tgt_acc=0.957778, best_tgt=0.957778
Round 3: src_acc=0.977778, tgt_acc=0.936296, best_tgt=0.957778
Round 4: src_acc=0.959259, tgt_acc=0.920741, best_tgt=0.957778
Round 5: src_acc=0.993519, tgt_acc=0.965185, best_tgt=0.965185
Round 6: src_acc=0.964444, tgt_acc=0.944444, best_tgt=0.965185
Round 7: src_acc=0.991296, tgt_acc=0.968148, best_tgt=0.968148
Round 8: src_acc=0.992407, tgt_acc=0.976296, best_tgt=0.976296
Round 9: src_acc=0.993333, tgt_acc=0.972593, best_tgt=0.976296
Round 10: src_acc=0.999444, tgt_acc=0.985185, best_tgt=0.985185
Round 11: src_acc=0.999444, tgt_acc=0.987407, best_tgt=0.987407
Round 12: src_acc=0.999444, tgt_acc=0.987407, best_tgt=0.987407
Round 13: src_acc=0.999630, tgt_acc=0.989630, best_tgt=0.989630
Round 14: src_acc=0.999815, tgt_acc=0.990370, best_tgt=0.990370
Round 15: src_acc=1.000000, tgt_acc=0.990370, best_tgt=0.990370
Round 16: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.991111
Round 17: src_acc=1.000000, tgt_acc=0.990370, best_tgt=0.991111
Round 18: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.991111
Round 19: src_acc=1.000000, tgt_acc=0.988889, best_tgt=0.991111
Round 20: src_acc=1.000000, tgt_acc=0.988889, best_tgt=0.991111
Round 21: src_acc=1.000000, tgt_acc=0.991852, best_tgt=0.991852
Round 22: src_acc=1.000000, tgt_acc=0.990370, best_tgt=0.991852
Round 23: src_acc=1.000000, tgt_acc=0.988148, best_tgt=0.991852
Round 24: src_acc=1.000000, tgt_acc=0.991852, best_tgt=0.991852
Round 25: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.991852
Round 26: src_acc=1.000000, tgt_acc=0.988148, best_tgt=0.991852
Round 27: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.991852
Round 28: src_acc=1.000000, tgt_acc=0.989630, best_tgt=0.991852
Round 29: src_acc=1.000000, tgt_acc=0.992593, best_tgt=0.992593
Round 30: src_acc=1.000000, tgt_acc=0.991852, best_tgt=0.992593
Round 31: src_acc=1.000000, tgt_acc=0.992593, best_tgt=0.992593
Round 32: src_acc=1.000000, tgt_acc=0.991852, best_tgt=0.992593
Round 33: src_acc=1.000000, tgt_acc=0.991852, best_tgt=0.992593
Round 34: src_acc=1.000000, tgt_acc=0.991852, best_tgt=0.992593
Round 35: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.992593
Round 36: src_acc=1.000000, tgt_acc=0.991852, best_tgt=0.992593
Round 37: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.992593
Round 38: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.992593
Round 39: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.992593
Round 40: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.992593
Round 41: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.992593
Round 42: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.992593
Round 43: src_acc=1.000000, tgt_acc=0.991852, best_tgt=0.992593
Round 44: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.992593
Round 45: src_acc=1.000000, tgt_acc=0.991852, best_tgt=0.992593
Round 46: src_acc=1.000000, tgt_acc=0.991852, best_tgt=0.992593
Round 47: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.992593
Round 48: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.992593
Round 49: src_acc=1.000000, tgt_acc=0.991852, best_tgt=0.992593
