Round 0: src_acc=0.532986, tgt_acc=0.485417, best_tgt=0.485417
Round 1: src_acc=0.818229, tgt_acc=0.645833, best_tgt=0.645833
Round 2: src_acc=0.841319, tgt_acc=0.570833, best_tgt=0.645833
Round 3: src_acc=0.921181, tgt_acc=0.702083, best_tgt=0.702083
Round 4: src_acc=0.926215, tgt_acc=0.645833, best_tgt=0.702083
Round 5: src_acc=0.943750, tgt_acc=0.637500, best_tgt=0.702083
Round 6: src_acc=0.950347, tgt_acc=0.672917, best_tgt=0.702083
Round 7: src_acc=0.980729, tgt_acc=0.672917, best_tgt=0.702083
Round 8: src_acc=0.977257, tgt_acc=0.635417, best_tgt=0.702083
Round 9: src_acc=0.982465, tgt_acc=0.654167, best_tgt=0.702083
Round 10: src_acc=0.998958, tgt_acc=0.693750, best_tgt=0.702083
Round 11: src_acc=0.999653, tgt_acc=0.700000, best_tgt=0.702083
Round 12: src_acc=1.000000, tgt_acc=0.683333, best_tgt=0.702083
Round 13: src_acc=1.000000, tgt_acc=0.677083, best_tgt=0.702083
Round 14: src_acc=1.000000, tgt_acc=0.700000, best_tgt=0.702083
Round 15: src_acc=1.000000, tgt_acc=0.708333, best_tgt=0.708333
Round 16: src_acc=1.000000, tgt_acc=0.714583, best_tgt=0.714583
Round 17: src_acc=1.000000, tgt_acc=0.695833, best_tgt=0.714583
Round 18: src_acc=1.000000, tgt_acc=0.706250, best_tgt=0.714583
Round 19: src_acc=1.000000, tgt_acc=0.712500, best_tgt=0.714583
Round 20: src_acc=1.000000, tgt_acc=0.714583, best_tgt=0.714583
Round 21: src_acc=1.000000, tgt_acc=0.710417, best_tgt=0.714583
Round 22: src_acc=1.000000, tgt_acc=0.710417, best_tgt=0.714583
Round 23: src_acc=1.000000, tgt_acc=0.718750, best_tgt=0.718750
Round 24: src_acc=1.000000, tgt_acc=0.708333, best_tgt=0.718750
Round 25: src_acc=1.000000, tgt_acc=0.716667, best_tgt=0.718750
Round 26: src_acc=1.000000, tgt_acc=0.720833, best_tgt=0.720833
Round 27: src_acc=1.000000, tgt_acc=0.714583, best_tgt=0.720833
Round 28: src_acc=1.000000, tgt_acc=0.708333, best_tgt=0.720833
Round 29: src_acc=1.000000, tgt_acc=0.695833, best_tgt=0.720833
Round 30: src_acc=1.000000, tgt_acc=0.718750, best_tgt=0.720833
Round 31: src_acc=1.000000, tgt_acc=0.708333, best_tgt=0.720833
Round 32: src_acc=1.000000, tgt_acc=0.716667, best_tgt=0.720833
Round 33: src_acc=1.000000, tgt_acc=0.702083, best_tgt=0.720833
Round 34: src_acc=1.000000, tgt_acc=0.720833, best_tgt=0.720833
Round 35: src_acc=1.000000, tgt_acc=0.720833, best_tgt=0.720833
Round 36: src_acc=1.000000, tgt_acc=0.716667, best_tgt=0.720833
Round 37: src_acc=1.000000, tgt_acc=0.702083, best_tgt=0.720833
Round 38: src_acc=1.000000, tgt_acc=0.710417, best_tgt=0.720833
Round 39: src_acc=1.000000, tgt_acc=0.704167, best_tgt=0.720833
Round 40: src_acc=1.000000, tgt_acc=0.729167, best_tgt=0.729167
Round 41: src_acc=1.000000, tgt_acc=0.697917, best_tgt=0.729167
Round 42: src_acc=1.000000, tgt_acc=0.710417, best_tgt=0.729167
Round 43: src_acc=1.000000, tgt_acc=0.720833, best_tgt=0.729167
Round 44: src_acc=1.000000, tgt_acc=0.725000, best_tgt=0.729167
Round 45: src_acc=1.000000, tgt_acc=0.704167, best_tgt=0.729167
Round 46: src_acc=1.000000, tgt_acc=0.706250, best_tgt=0.729167
Round 47: src_acc=1.000000, tgt_acc=0.695833, best_tgt=0.729167
Round 48: src_acc=1.000000, tgt_acc=0.700000, best_tgt=0.729167
Round 49: src_acc=1.000000, tgt_acc=0.689583, best_tgt=0.729167
