Round 0: src_acc=0.797917, tgt_acc=0.548958, best_tgt=0.548958
Round 1: src_acc=0.884896, tgt_acc=0.562500, best_tgt=0.562500
Round 2: src_acc=0.960156, tgt_acc=0.641667, best_tgt=0.641667
Round 3: src_acc=0.964323, tgt_acc=0.596875, best_tgt=0.641667
Round 4: src_acc=0.973437, tgt_acc=0.582292, best_tgt=0.641667
Round 5: src_acc=0.976562, tgt_acc=0.562500, best_tgt=0.641667
Round 6: src_acc=0.975781, tgt_acc=0.561458, best_tgt=0.641667
Round 7: src_acc=0.987500, tgt_acc=0.581250, best_tgt=0.641667
Round 8: src_acc=0.986719, tgt_acc=0.581250, best_tgt=0.641667
Round 9: src_acc=0.990365, tgt_acc=0.598958, best_tgt=0.641667
Round 10: src_acc=0.999479, tgt_acc=0.616667, best_tgt=0.641667
Round 11: src_acc=0.999740, tgt_acc=0.618750, best_tgt=0.641667
Round 12: src_acc=1.000000, tgt_acc=0.635417, best_tgt=0.641667
Round 13: src_acc=1.000000, tgt_acc=0.645833, best_tgt=0.645833
Round 14: src_acc=1.000000, tgt_acc=0.636458, best_tgt=0.645833
Round 15: src_acc=1.000000, tgt_acc=0.629167, best_tgt=0.645833
Round 16: src_acc=1.000000, tgt_acc=0.646875, best_tgt=0.646875
Round 17: src_acc=1.000000, tgt_acc=0.631250, best_tgt=0.646875
Round 18: src_acc=1.000000, tgt_acc=0.641667, best_tgt=0.646875
Round 19: src_acc=1.000000, tgt_acc=0.630208, best_tgt=0.646875
Round 20: src_acc=1.000000, tgt_acc=0.635417, best_tgt=0.646875
Round 21: src_acc=1.000000, tgt_acc=0.639583, best_tgt=0.646875
Round 22: src_acc=1.000000, tgt_acc=0.643750, best_tgt=0.646875
Round 23: src_acc=1.000000, tgt_acc=0.631250, best_tgt=0.646875
Round 24: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.646875
Round 25: src_acc=1.000000, tgt_acc=0.637500, best_tgt=0.646875
Round 26: src_acc=1.000000, tgt_acc=0.637500, best_tgt=0.646875
Round 27: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.646875
Round 28: src_acc=1.000000, tgt_acc=0.634375, best_tgt=0.646875
Round 29: src_acc=1.000000, tgt_acc=0.632292, best_tgt=0.646875
Round 30: src_acc=1.000000, tgt_acc=0.629167, best_tgt=0.646875
Round 31: src_acc=1.000000, tgt_acc=0.632292, best_tgt=0.646875
Round 32: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.646875
Round 33: src_acc=1.000000, tgt_acc=0.631250, best_tgt=0.646875
Round 34: src_acc=1.000000, tgt_acc=0.637500, best_tgt=0.646875
Round 35: src_acc=1.000000, tgt_acc=0.636458, best_tgt=0.646875
Round 36: src_acc=1.000000, tgt_acc=0.639583, best_tgt=0.646875
Round 37: src_acc=1.000000, tgt_acc=0.634375, best_tgt=0.646875
Round 38: src_acc=1.000000, tgt_acc=0.627083, best_tgt=0.646875
Round 39: src_acc=1.000000, tgt_acc=0.631250, best_tgt=0.646875
Round 40: src_acc=1.000000, tgt_acc=0.633333, best_tgt=0.646875
Round 41: src_acc=1.000000, tgt_acc=0.637500, best_tgt=0.646875
Round 42: src_acc=1.000000, tgt_acc=0.619792, best_tgt=0.646875
Round 43: src_acc=1.000000, tgt_acc=0.632292, best_tgt=0.646875
Round 44: src_acc=1.000000, tgt_acc=0.635417, best_tgt=0.646875
Round 45: src_acc=1.000000, tgt_acc=0.635417, best_tgt=0.646875
Round 46: src_acc=1.000000, tgt_acc=0.636458, best_tgt=0.646875
Round 47: src_acc=1.000000, tgt_acc=0.632292, best_tgt=0.646875
Round 48: src_acc=1.000000, tgt_acc=0.645833, best_tgt=0.646875
Round 49: src_acc=1.000000, tgt_acc=0.635417, best_tgt=0.646875
